time,low,high,open,close
Mar  9 01:00:00,8153050000,8242290000,8195580000,8197379999
Mar  9 03:00:00,8110300000,8214870000,8137720000,8178080000
Mar  9 05:00:00,7803250000,8085060000,7973060000,8049990000
Mar  8 22:00:00,8270180000,8385820000,8371260000,8271500000
Mar  8 23:00:00,8115880000,8356190000,8270660000,8150300000
Mar  9 04:00:00,7926510000,8180680000,8177300000,7974360000
Mar  9 11:00:00,7925510000,8007700000,8006720000,7941140000
Mar  9 02:00:00,8136660000,8207010000,8198180000,8137680000
Mar  9 06:00:00,7973640000,8115900000,8051050000,8002790000
Mar  9 09:00:00,8005870000,8089570000,8088030000,8008750000
Mar  9 00:00:00,8129270000,8287610000,8150400000,8194780000
Mar  9 07:00:00,7999890000,8052570000,8003640000,8016950000
Mar  9 08:00:00,8016430000,8107740000,8016880000,8087690000
Mar  9 10:00:00,8000210000,8047080000,8008570000,8007640000
